% nSim ->    4131
%      nExp        nIn        hLS      trFcn         lr        trC
         1          7          3          1       0.20       1000
         2          7          3          1       0.20       2000
         3          7          3          1       0.20       5000
         4          7          3          1       0.10       1000
         5          7          3          1       0.10       2000
         6          7          3          1       0.10       5000
         7          7          3          1       0.05       1000
         8          7          3          1       0.05       2000
         9          7          3          1       0.05       5000
        10          7          3          5       0.20       1000
        11          7          3          5       0.20       2000
        12          7          3          5       0.20       5000
        13          7          3          5       0.10       1000
        14          7          3          5       0.10       2000
        15          7          3          5       0.10       5000
        16          7          3          5       0.05       1000
        17          7          3          5       0.05       2000
        18          7          3          5       0.05       5000
        19          7          3          6       0.20       1000
        20          7          3          6       0.20       2000
        21          7          3          6       0.20       5000
        22          7          3          6       0.10       1000
        23          7          3          6       0.10       2000
        24          7          3          6       0.10       5000
        25          7          3          6       0.05       1000
        26          7          3          6       0.05       2000
        27          7          3          6       0.05       5000
        28          7          4          1       0.20       1000
        29          7          4          1       0.20       2000
        30          7          4          1       0.20       5000
        31          7          4          1       0.10       1000
        32          7          4          1       0.10       2000
        33          7          4          1       0.10       5000
        34          7          4          1       0.05       1000
        35          7          4          1       0.05       2000
        36          7          4          1       0.05       5000
        37          7          4          5       0.20       1000
        38          7          4          5       0.20       2000
        39          7          4          5       0.20       5000
        40          7          4          5       0.10       1000
        41          7          4          5       0.10       2000
        42          7          4          5       0.10       5000
        43          7          4          5       0.05       1000
        44          7          4          5       0.05       2000
        45          7          4          5       0.05       5000
        46          7          4          6       0.20       1000
        47          7          4          6       0.20       2000
        48          7          4          6       0.20       5000
        49          7          4          6       0.10       1000
        50          7          4          6       0.10       2000
        51          7          4          6       0.10       5000
        52          7          4          6       0.05       1000
        53          7          4          6       0.05       2000
        54          7          4          6       0.05       5000
        55          7          6          1       0.20       1000
        56          7          6          1       0.20       2000
        57          7          6          1       0.20       5000
        58          7          6          1       0.10       1000
        59          7          6          1       0.10       2000
        60          7          6          1       0.10       5000
        61          7          6          1       0.05       1000
        62          7          6          1       0.05       2000
        63          7          6          1       0.05       5000
        64          7          6          5       0.20       1000
        65          7          6          5       0.20       2000
        66          7          6          5       0.20       5000
        67          7          6          5       0.10       1000
        68          7          6          5       0.10       2000
        69          7          6          5       0.10       5000
        70          7          6          5       0.05       1000
        71          7          6          5       0.05       2000
        72          7          6          5       0.05       5000
        73          7          6          6       0.20       1000
        74          7          6          6       0.20       2000
        75          7          6          6       0.20       5000
        76          7          6          6       0.10       1000
        77          7          6          6       0.10       2000
        78          7          6          6       0.10       5000
        79          7          6          6       0.05       1000
        80          7          6          6       0.05       2000
        81          7          6          6       0.05       5000
        82          7          9          1       0.20       1000
        83          7          9          1       0.20       2000
        84          7          9          1       0.20       5000
        85          7          9          1       0.10       1000
        86          7          9          1       0.10       2000
        87          7          9          1       0.10       5000
        88          7          9          1       0.05       1000
        89          7          9          1       0.05       2000
        90          7          9          1       0.05       5000
        91          7          9          5       0.20       1000
        92          7          9          5       0.20       2000
        93          7          9          5       0.20       5000
        94          7          9          5       0.10       1000
        95          7          9          5       0.10       2000
        96          7          9          5       0.10       5000
        97          7          9          5       0.05       1000
        98          7          9          5       0.05       2000
        99          7          9          5       0.05       5000
       100          7          9          6       0.20       1000
       101          7          9          6       0.20       2000
       102          7          9          6       0.20       5000
       103          7          9          6       0.10       1000
       104          7          9          6       0.10       2000
       105          7          9          6       0.10       5000
       106          7          9          6       0.05       1000
       107          7          9          6       0.05       2000
       108          7          9          6       0.05       5000
       109          7         12          1       0.20       1000
       110          7         12          1       0.20       2000
       111          7         12          1       0.20       5000
       112          7         12          1       0.10       1000
       113          7         12          1       0.10       2000
       114          7         12          1       0.10       5000
       115          7         12          1       0.05       1000
       116          7         12          1       0.05       2000
       117          7         12          1       0.05       5000
       118          7         12          5       0.20       1000
       119          7         12          5       0.20       2000
       120          7         12          5       0.20       5000
       121          7         12          5       0.10       1000
       122          7         12          5       0.10       2000
       123          7         12          5       0.10       5000
       124          7         12          5       0.05       1000
       125          7         12          5       0.05       2000
       126          7         12          5       0.05       5000
       127          7         12          6       0.20       1000
       128          7         12          6       0.20       2000
       129          7         12          6       0.20       5000
       130          7         12          6       0.10       1000
       131          7         12          6       0.10       2000
       132          7         12          6       0.10       5000
       133          7         12          6       0.05       1000
       134          7         12          6       0.05       2000
       135          7         12          6       0.05       5000
       136          7         18          1       0.20       1000
       137          7         18          1       0.20       2000
       138          7         18          1       0.20       5000
       139          7         18          1       0.10       1000
       140          7         18          1       0.10       2000
       141          7         18          1       0.10       5000
       142          7         18          1       0.05       1000
       143          7         18          1       0.05       2000
       144          7         18          1       0.05       5000
       145          7         18          5       0.20       1000
       146          7         18          5       0.20       2000
       147          7         18          5       0.20       5000
       148          7         18          5       0.10       1000
       149          7         18          5       0.10       2000
       150          7         18          5       0.10       5000
       151          7         18          5       0.05       1000
       152          7         18          5       0.05       2000
       153          7         18          5       0.05       5000
       154          7         18          6       0.20       1000
       155          7         18          6       0.20       2000
       156          7         18          6       0.20       5000
       157          7         18          6       0.10       1000
       158          7         18          6       0.10       2000
       159          7         18          6       0.10       5000
       160          7         18          6       0.05       1000
       161          7         18          6       0.05       2000
       162          7         18          6       0.05       5000
       163          7         24          1       0.20       1000
       164          7         24          1       0.20       2000
       165          7         24          1       0.20       5000
       166          7         24          1       0.10       1000
       167          7         24          1       0.10       2000
       168          7         24          1       0.10       5000
       169          7         24          1       0.05       1000
       170          7         24          1       0.05       2000
       171          7         24          1       0.05       5000
       172          7         24          5       0.20       1000
       173          7         24          5       0.20       2000
       174          7         24          5       0.20       5000
       175          7         24          5       0.10       1000
       176          7         24          5       0.10       2000
       177          7         24          5       0.10       5000
       178          7         24          5       0.05       1000
       179          7         24          5       0.05       2000
       180          7         24          5       0.05       5000
       181          7         24          6       0.20       1000
       182          7         24          6       0.20       2000
       183          7         24          6       0.20       5000
       184          7         24          6       0.10       1000
       185          7         24          6       0.10       2000
       186          7         24          6       0.10       5000
       187          7         24          6       0.05       1000
       188          7         24          6       0.05       2000
       189          7         24          6       0.05       5000
       190          7         30          1       0.20       1000
       191          7         30          1       0.20       2000
       192          7         30          1       0.20       5000
       193          7         30          1       0.10       1000
       194          7         30          1       0.10       2000
       195          7         30          1       0.10       5000
       196          7         30          1       0.05       1000
       197          7         30          1       0.05       2000
       198          7         30          1       0.05       5000
       199          7         30          5       0.20       1000
       200          7         30          5       0.20       2000
       201          7         30          5       0.20       5000
       202          7         30          5       0.10       1000
       203          7         30          5       0.10       2000
       204          7         30          5       0.10       5000
       205          7         30          5       0.05       1000
       206          7         30          5       0.05       2000
       207          7         30          5       0.05       5000
       208          7         30          6       0.20       1000
       209          7         30          6       0.20       2000
       210          7         30          6       0.20       5000
       211          7         30          6       0.10       1000
       212          7         30          6       0.10       2000
       213          7         30          6       0.10       5000
       214          7         30          6       0.05       1000
       215          7         30          6       0.05       2000
       216          7         30          6       0.05       5000
       217          7         36          1       0.20       1000
       218          7         36          1       0.20       2000
       219          7         36          1       0.20       5000
       220          7         36          1       0.10       1000
       221          7         36          1       0.10       2000
       222          7         36          1       0.10       5000
